time,N_1_x_No.1,N_1_y_No.1,N_1_z_No.1,N_2_x_No.1,N_2_y_No.1,N_2_z_No.1,C_3_x_No.1,C_3_y_No.1,C_3_z_No.1,H_4_x_No.1,H_4_y_No.1,H_4_z_No.1,H_5_x_No.1,H_5_y_No.1,H_5_z_No.1,H_6_x_No.1,H_6_y_No.1,H_6_z_No.1,C_7_x_No.1,C_7_y_No.1,C_7_z_No.1,H_8_x_No.1,H_8_y_No.1,H_8_z_No.1,H_9_x_No.1,H_9_y_No.1,H_9_z_No.1,H_10_x_No.1,H_10_y_No.1,H_10_z_No.1,N_1_x_No.2,N_1_y_No.2,N_1_z_No.2,N_2_x_No.2,N_2_y_No.2,N_2_z_No.2,C_3_x_No.2,C_3_y_No.2,C_3_z_No.2,H_4_x_No.2,H_4_y_No.2,H_4_z_No.2,H_5_x_No.2,H_5_y_No.2,H_5_z_No.2,H_6_x_No.2,H_6_y_No.2,H_6_z_No.2,C_7_x_No.2,C_7_y_No.2,C_7_z_No.2,H_8_x_No.2,H_8_y_No.2,H_8_z_No.2,H_9_x_No.2,H_9_y_No.2,H_9_z_No.2,H_10_x_No.2,H_10_y_No.2,H_10_z_No.2,N_1_x_No.3,N_1_y_No.3,N_1_z_No.3,N_2_x_No.3,N_2_y_No.3,N_2_z_No.3,C_3_x_No.3,C_3_y_No.3,C_3_z_No.3,H_4_x_No.3,H_4_y_No.3,H_4_z_No.3,H_5_x_No.3,H_5_y_No.3,H_5_z_No.3,H_6_x_No.3,H_6_y_No.3,H_6_z_No.3,C_7_x_No.3,C_7_y_No.3,C_7_z_No.3,H_8_x_No.3,H_8_y_No.3,H_8_z_No.3,H_9_x_No.3,H_9_y_No.3,H_9_z_No.3,H_10_x_No.3,H_10_y_No.3,H_10_z_No.3
0.0,-0.6468078937,-0.1145820752,-0.5963220565,0.6174399414,-0.0625361034,-0.7263172532,1.3359276987,0.1042533707,0.5256874789,1.2668588838,1.1031422643,1.0439472646,1.0506093962,-0.3757274465,1.2814891026,2.4224347168,-0.0457579621,0.2380867582,-1.2908102081,-0.0399701839,0.6231393804,-0.8655254154,0.7173404376,1.4755852266,-2.4595199975,0.1673414368,0.2605786045,-1.3668067294,-1.0485370799,1.1114125885,-0.6468078937,-0.1145820752,-0.5963220565,0.6174399414,-0.0625361034,-0.7263172532,1.3359276987,0.1042533707,0.5256874789,1.2668588838,1.1031422643,1.0439472646,1.0506093962,-0.3757274465,1.2814891026,2.4224347168,-0.0457579621,0.2380867582,-1.2908102081,-0.0399701839,0.6231393804,-0.8655254154,0.7173404376,1.4755852266,-2.4595199975,0.1673414368,0.2605786045,-1.3668067294,-1.0485370799,1.1114125885,-0.6620014105,-0.1708630515,-0.6852481431,0.6079659805,0.0131722077,-0.6908406175,1.3695217167,0.1133803612,0.5483859448,1.3292362912,1.1746017913,0.728464664,1.0216194284,-0.4795634592,1.3902253497,2.4509657648,-0.3684675927,0.3433750982,-1.3132802263,-0.0671377049,0.6613113568,-0.8181070298,0.7548733798,1.3656263617,-2.3586063409,0.4514965432,0.5317000641,-1.3668269729,-1.070130488,1.0691053998
1.0,-0.6510695326,-0.11186448,-0.6100426765,0.6114578871,-0.0694401943,-0.7204827274,1.3499538593,0.1162862751,0.5266544241,1.2717788351,1.1118199569,1.0666916865,1.0011156815,-0.4263798921,1.2666678147,2.36374865,-0.054669293,0.2611472796,-1.2888663347,-0.0430799959,0.6319134053,-0.8444807057,0.744604087,1.4450750754,-2.4141611111,0.166734667,0.2526630888,-1.3779046215,-1.0724387169,1.1123522225,-0.6510695326,-0.11186448,-0.6100426765,0.6114578871,-0.0694401943,-0.7204827274,1.3499538593,0.1162862751,0.5266544241,1.2717788351,1.1118199569,1.0666916865,1.0011156815,-0.4263798921,1.2666678147,2.36374865,-0.054669293,0.2611472796,-1.2888663347,-0.0430799959,0.6319134053,-0.8444807057,0.744604087,1.4450750754,-2.4141611111,0.166734667,0.2526630888,-1.3779046215,-1.0724387169,1.1123522225,-0.6526946702,-0.1708043408,-0.6845178135,0.6027901215,0.0114077629,-0.6900888161,1.3700230084,0.1136681099,0.5554760092,1.3267620632,1.2391940932,0.7132881411,1.0411827276,-0.5295590442,1.3602653829,2.4012229231,-0.3708662142,0.3063456229,-1.3167726175,-0.0679631327,0.6627526738,-0.8382248095,0.7404785162,1.3399886533,-2.3200199186,0.4676865776,0.576152913,-1.3743970937,-1.0540043362,1.010191673
2.0,-0.6537307265,-0.1086774956,-0.6239324388,0.6051352555,-0.0762319451,-0.7142852561,1.3656853607,0.131698337,0.5255574981,1.2778468203,1.1168815315,1.0717019357,0.9385392456,-0.5155711651,1.2815768679,2.3119149709,-0.0658993882,0.2882638823,-1.2909607948,-0.0461768916,0.6418867613,-0.8382328949,0.7530777553,1.3890442676,-2.3432455716,0.1666889253,0.2650904388,-1.384406466,-1.0821092849,1.1100185548,-0.6537307265,-0.1086774956,-0.6239324388,0.6051352555,-0.0762319451,-0.7142852561,1.3656853607,0.131698337,0.5255574981,1.2778468203,1.1168815315,1.0717019357,0.9385392456,-0.5155711651,1.2815768679,2.3119149709,-0.0658993882,0.2882638823,-1.2909607948,-0.0461768916,0.6418867613,-0.8382328949,0.7530777553,1.3890442676,-2.3432455716,0.1666889253,0.2650904388,-1.384406466,-1.0821092849,1.1100185548,-0.6434492619,-0.1703764194,-0.6828761088,0.5970462206,0.0090454957,-0.6889086272,1.3730403825,0.1140952643,0.5608387283,1.3339755141,1.2849992541,0.7070949373,1.0538305684,-0.5749071997,1.3299721553,2.335690175,-0.353902261,0.2750842588,-1.321519438,-0.0650939067,0.6634372847,-0.8596302577,0.7040708352,1.3034989603,-2.2710548761,0.4667181163,0.6164239509,-1.3843180259,-1.0464048115,0.9628556181
3.0,-0.6551159993,-0.1051341641,-0.637915749,0.5987783939,-0.0827405849,-0.7076001653,1.3787695568,0.1481859485,0.5255831822,1.2849982329,1.1172126243,1.0606193797,0.8823362898,-0.6117685505,1.2947411524,2.2974915229,-0.084873933,0.3114728611,-1.2959130474,-0.0494459935,0.6524080821,-0.8457845184,0.7433912917,1.3140793625,-2.2607238604,0.1693656793,0.2953359338,-1.3852864188,-1.0765019831,1.1051794235,-0.6551159993,-0.1051341641,-0.637915749,0.5987783939,-0.0827405849,-0.7076001653,1.3787695568,0.1481859485,0.5255831822,1.2849982329,1.1172126243,1.0606193797,0.8823362898,-0.6117685505,1.2947411524,2.2974915229,-0.084873933,0.3114728611,-1.2959130474,-0.0494459935,0.6524080821,-0.8457845184,0.7433912917,1.3140793625,-2.2607238604,0.1693656793,0.2953359338,-1.3852864188,-1.0765019831,1.1051794235,-0.6350117688,-0.169576575,-0.6803785869,0.5913752531,0.0062961983,-0.6873052507,1.3774447375,0.1155341413,0.5642479256,1.3499090258,1.3018580082,0.7102513056,1.0589375359,-0.6129663139,1.302419532,2.2695535526,-0.3219053358,0.2484528388,-1.3268363068,-0.0591906824,0.6626276039,-0.8734093911,0.6540573397,1.2661258809,-2.2266954917,0.4545311899,0.6479652981,-1.3973499111,-1.0553184152,0.9316941031
4.0,-0.6556876464,-0.1013467566,-0.6519094011,0.5928535795,-0.0888201098,-0.7003199467,1.3868256744,0.1639181453,0.5278169599,1.2926422513,1.1146971975,1.0372983155,0.8450615515,-0.693563187,1.2927500001,2.3341242604,-0.1151809055,0.3271534389,-1.3016758994,-0.0534595349,0.6628523016,-0.8623144988,0.7218846046,1.2315597504,-2.1933167902,0.1795243742,0.3348935845,-1.3803380631,-1.0582752453,1.1000066067,-0.6556876464,-0.1013467566,-0.6519094011,0.5928535795,-0.0888201098,-0.7003199467,1.3868256744,0.1639181453,0.5278169599,1.2926422513,1.1146971975,1.0372983155,0.8450615515,-0.693563187,1.2927500001,2.3341242604,-0.1151809055,0.3271534389,-1.3016758994,-0.0534595349,0.6628523016,-0.8623144988,0.7218846046,1.2315597504,-2.1933167902,0.1795243742,0.3348935845,-1.3803380631,-1.0582752453,1.1000066067,-0.6281735239,-0.1684221735,-0.6770954065,0.5864328569,0.0034030597,-0.6852982489,1.3814641563,0.1186380884,0.5659407912,1.3729486087,1.2865952492,0.7229826213,1.0572692656,-0.6411812346,1.2791870734,2.225177374,-0.283898255,0.2218501199,-1.3320044145,-0.0526884415,0.6594663499,-0.8673277442,0.6052921681,1.2425419398,-2.2063268892,0.4411627433,0.6673349993,-1.4134334851,-1.0779175132,0.9169028061
5.0,-0.6559897992,-0.0974134669,-0.6657939136,0.5878722311,-0.0943601328,-0.692399459,1.3909943357,0.1768734047,0.5315950946,1.2997245765,1.1148956111,1.007599417,0.8320609501,-0.7495452442,1.2735625242,2.4009606654,-0.1513513967,0.3392584282,-1.305828649,-0.0593771558,0.6724773134,-0.8776715955,0.7028479649,1.1578066223,-2.1760104412,0.2044495337,0.3706507913,-1.3701152138,-1.0337348179,1.0979707196,-0.6559897992,-0.0974134669,-0.6657939136,0.5878722311,-0.0943601328,-0.692399459,1.3909943357,0.1768734047,0.5315950946,1.2997245765,1.1148956111,1.007599417,0.8320609501,-0.7495452442,1.2735625242,2.4009606654,-0.1513513967,0.3392584282,-1.305828649,-0.0593771558,0.6724773134,-0.8776715955,0.7028479649,1.1578066223,-2.1760104412,0.2044495337,0.3706507913,-1.3701152138,-1.0337348179,1.0979707196,-0.6236780152,-0.1669538488,-0.6730889998,0.5828122661,0.0006144868,-0.6829211599,1.3834291283,0.1236274153,0.5664190846,1.4008499357,1.2420775741,0.7453435676,1.0509423688,-0.6574143508,1.2605689733,2.2232899395,-0.2496050287,0.1892834429,-1.3366956354,-0.0484361617,0.6532438221,-0.8310243069,0.5716584213,1.2460066708,-2.2236423752,0.4354896878,0.6733652279,-1.4317777131,-1.103830084,0.9158431642
6.0,-0.6565772287,-0.0934163065,-0.6794087282,0.5842865095,-0.099291942,-0.6838701604,1.3935504444,0.185006057,0.5358329565,1.3052630205,1.1250945219,0.9778265055,0.8447770814,-0.773692876,1.2393220212,2.4677071971,-0.1834027573,0.3526559114,-1.3080432805,-0.0680475641,0.6797919241,-0.8786577255,0.7051356789,1.1093208969,-2.2207441503,0.24621001,0.3971249204,-1.3556102945,-1.0124473693,1.1036144008,-0.6565772287,-0.0934163065,-0.6794087282,0.5842865095,-0.099291942,-0.6838701604,1.3935504444,0.185006057,0.5358329565,1.3052630205,1.1250945219,0.9778265055,0.8447770814,-0.773692876,1.2393220212,2.4677071971,-0.1834027573,0.3526559114,-1.3080432805,-0.0680475641,0.6797919241,-0.8786577255,0.7051356789,1.1093208969,-2.2207441503,0.24621001,0.3971249204,-1.3556102945,-1.0124473693,1.1036144008,-0.6220942474,-0.1652295522,-0.6684149513,0.5809638716,-0.0018406851,-0.6802025373,1.3833069965,0.129538182,0.5656637927,1.4308343538,1.178529279,0.7777099073,1.042854594,-0.6606372643,1.2462264313,2.2649970802,-0.2210709157,0.151173589,-1.3410947726,-0.0472995559,0.6443189966,-0.7673839657,0.5525695746,1.2758165122,-2.2737390421,0.4380329577,0.666950926,-1.4513882258,-1.1227869312,0.9249872156
7.0,-0.6579266103,-0.0894287212,-0.6925674404,0.5824065997,-0.1035951933,-0.6748363331,1.3960489068,0.1870759046,0.5398307542,1.3090491929,1.1491507602,0.951894407,0.8824263952,-0.7630523125,1.1936823529,2.5146820135,-0.2037679401,0.3692607521,-1.3106249428,-0.0782520877,0.6831434841,-0.8595289133,0.7358109614,1.0918756763,-2.3003491096,0.2945857652,0.4214897982,-1.3378160253,-1.0046396033,1.12137625,-0.6579266103,-0.0894287212,-0.6925674404,0.5824065997,-0.1035951933,-0.6748363331,1.3960489068,0.1870759046,0.5398307542,1.3090491929,1.1491507602,0.951894407,0.8824263952,-0.7630523125,1.1936823529,2.5146820135,-0.2037679401,0.3692607521,-1.3106249428,-0.0782520877,0.6831434841,-0.8595289133,0.7358109614,1.0918756763,-2.3003491096,0.2945857652,0.4214897982,-1.3378160253,-1.0046396033,1.12137625,-0.6236945064,-0.1633019517,-0.6631291723,0.5811204077,-0.0037692831,-0.6771403589,1.3827462458,0.1341807698,0.5627931799,1.4603412633,1.1153068318,0.8217069628,1.0359013576,-0.6516329398,1.2358536648,2.330865711,-0.193261124,0.1163847634,-1.3454916941,-0.0482189948,0.6341386612,-0.693716356,0.5357031271,1.3174196118,-2.3366729393,0.442578101,0.6499857071,-1.4714283442,-1.1283570351,0.9408302282
8.0,-0.6603674981,-0.0855163411,-0.705069309,0.5823368412,-0.1073013214,-0.6654602541,1.399302134,0.1831459265,0.5433644212,1.3118850086,1.1831380383,0.929722467,0.9419173916,-0.7179985042,1.1418350242,2.5331792863,-0.2085281306,0.3885664453,-1.3152656998,-0.0871989309,0.6822316858,-0.8282595042,0.7803596227,1.0979556646,-2.3815430904,0.3362099338,0.4509562686,-1.3174417861,-1.0146907088,1.1526655695,-0.6603674981,-0.0855163411,-0.705069309,0.5823368412,-0.1073013214,-0.6654602541,1.399302134,0.1831459265,0.5433644212,1.3118850086,1.1831380383,0.929722467,0.9419173916,-0.7179985042,1.1418350242,2.5331792863,-0.2085281306,0.3885664453,-1.3152656998,-0.0871989309,0.6822316858,-0.8282595042,0.7803596227,1.0979556646,-2.3815430904,0.3362099338,0.4509562686,-1.3174417861,-1.0146907088,1.1526655695,-0.6283790034,-0.1611956442,-0.6572957817,0.5832395658,-0.0050241107,-0.6736983638,1.3835078785,0.1352637241,0.5566779896,1.4881018437,1.0759798291,0.8804231205,1.0323193322,-0.6334640338,1.229590238,2.3988431801,-0.1619775836,0.0942218281,-1.3500913696,-0.049974548,0.6241572546,-0.6292188627,0.51110956,1.3555821572,-2.3920799514,0.4431018906,0.624792097,-1.491306062,-1.1182176398,0.9602658588
9.0,-0.664046204,-0.0817279836,-0.716708613,0.5839559964,-0.1104912359,-0.6559300008,1.4038716402,0.174679366,0.5462409179,1.3150883696,1.2170573854,0.9088625764,1.0159521637,-0.6459464857,1.0928747677,2.5219223222,-0.1965565444,0.4086010154,-1.3222347992,-0.0928736742,0.6779092409,-0.7975419382,0.8181722313,1.1167480233,-2.4435735342,0.3622118137,0.4876956822,-1.2950535398,-1.0364387917,1.1933494494,-0.664046204,-0.0817279836,-0.716708613,0.5839559964,-0.1104912359,-0.6559300008,1.4038716402,0.174679366,0.5462409179,1.3150883696,1.2170573854,0.9088625764,1.0159521637,-0.6459464857,1.0928747677,2.5219223222,-0.1965565444,0.4086010154,-1.3222347992,-0.0928736742,0.6779092409,-0.7975419382,0.8181722313,1.1167480233,-2.4435735342,0.3622118137,0.4876956822,-1.2950535398,-1.0364387917,1.1933494494,-0.6356756563,-0.1589059914,-0.6510066321,0.5869861478,-0.0055197271,-0.6698411082,1.3867793487,0.1321274605,0.546726212,1.5131897192,1.070566403,0.9542574011,1.0332628646,-0.6113881236,1.2281440419,2.4538666522,-0.1264549833,0.0896779838,-1.3550308299,-0.05183972,0.6153198949,-0.5871537694,0.4755329013,1.3808015167,-2.426564772,0.4367042982,0.5938148899,-1.5107286605,-1.0937869038,0.9808311961
