time,N_1_x,N_1_y,N_1_z,N_2_x,N_2_y,N_2_z,C_3_x,C_3_y,C_3_z,H_4_x,H_4_y,H_4_z,H_5_x,H_5_y,H_5_z,H_6_x,H_6_y,H_6_z,C_7_x,C_7_y,C_7_z,H_8_x,H_8_y,H_8_z,H_9_x,H_9_y,H_9_z,H_10_x,H_10_y,H_10_z
0.0,-0.6468078937,-0.1145820752,-0.5963220565,0.6174399414,-0.0625361034,-0.7263172532,1.3359276987,0.1042533707,0.5256874789,1.2668588838,1.1031422643,1.0439472646,1.0506093962,-0.3757274465,1.2814891026,2.4224347168,-0.0457579621,0.2380867582,-1.2908102081,-0.0399701839,0.6231393804,-0.8655254154,0.7173404376,1.4755852266,-2.4595199975,0.1673414368,0.2605786045,-1.3668067294,-1.0485370799,1.1114125885
1.0,-0.6510695326,-0.11186448,-0.6100426765,0.6114578871,-0.0694401943,-0.7204827274,1.3499538593,0.1162862751,0.5266544241,1.2717788351,1.1118199569,1.0666916865,1.0011156815,-0.4263798921,1.2666678147,2.36374865,-0.054669293,0.2611472796,-1.2888663347,-0.0430799959,0.6319134053,-0.8444807057,0.744604087,1.4450750754,-2.4141611111,0.166734667,0.2526630888,-1.3779046215,-1.0724387169,1.1123522225
2.0,-0.6537307265,-0.1086774956,-0.6239324388,0.6051352555,-0.0762319451,-0.7142852561,1.3656853607,0.131698337,0.5255574981,1.2778468203,1.1168815315,1.0717019357,0.9385392456,-0.5155711651,1.2815768679,2.3119149709,-0.0658993882,0.2882638823,-1.2909607948,-0.0461768916,0.6418867613,-0.8382328949,0.7530777553,1.3890442676,-2.3432455716,0.1666889253,0.2650904388,-1.384406466,-1.0821092849,1.1100185548
3.0,-0.6551159993,-0.1051341641,-0.637915749,0.5987783939,-0.0827405849,-0.7076001653,1.3787695568,0.1481859485,0.5255831822,1.2849982329,1.1172126243,1.0606193797,0.8823362898,-0.6117685505,1.2947411524,2.2974915229,-0.084873933,0.3114728611,-1.2959130474,-0.0494459935,0.6524080821,-0.8457845184,0.7433912917,1.3140793625,-2.2607238604,0.1693656793,0.2953359338,-1.3852864188,-1.0765019831,1.1051794235
4.0,-0.6556876464,-0.1013467566,-0.6519094011,0.5928535795,-0.0888201098,-0.7003199467,1.3868256744,0.1639181453,0.5278169599,1.2926422513,1.1146971975,1.0372983155,0.8450615515,-0.693563187,1.2927500001,2.3341242604,-0.1151809055,0.3271534389,-1.3016758994,-0.0534595349,0.6628523016,-0.8623144988,0.7218846046,1.2315597504,-2.1933167902,0.1795243742,0.3348935845,-1.3803380631,-1.0582752453,1.1000066067
5.0,-0.6559897992,-0.0974134669,-0.6657939136,0.5878722311,-0.0943601328,-0.692399459,1.3909943357,0.1768734047,0.5315950946,1.2997245765,1.1148956111,1.007599417,0.8320609501,-0.7495452442,1.2735625242,2.4009606654,-0.1513513967,0.3392584282,-1.305828649,-0.0593771558,0.6724773134,-0.8776715955,0.7028479649,1.1578066223,-2.1760104412,0.2044495337,0.3706507913,-1.3701152138,-1.0337348179,1.0979707196
6.0,-0.6565772287,-0.0934163065,-0.6794087282,0.5842865095,-0.099291942,-0.6838701604,1.3935504444,0.185006057,0.5358329565,1.3052630205,1.1250945219,0.9778265055,0.8447770814,-0.773692876,1.2393220212,2.4677071971,-0.1834027573,0.3526559114,-1.3080432805,-0.0680475641,0.6797919241,-0.8786577255,0.7051356789,1.1093208969,-2.2207441503,0.24621001,0.3971249204,-1.3556102945,-1.0124473693,1.1036144008
7.0,-0.6579266103,-0.0894287212,-0.6925674404,0.5824065997,-0.1035951933,-0.6748363331,1.3960489068,0.1870759046,0.5398307542,1.3090491929,1.1491507602,0.951894407,0.8824263952,-0.7630523125,1.1936823529,2.5146820135,-0.2037679401,0.3692607521,-1.3106249428,-0.0782520877,0.6831434841,-0.8595289133,0.7358109614,1.0918756763,-2.3003491096,0.2945857652,0.4214897982,-1.3378160253,-1.0046396033,1.12137625
8.0,-0.6603674981,-0.0855163411,-0.705069309,0.5823368412,-0.1073013214,-0.6654602541,1.399302134,0.1831459265,0.5433644212,1.3118850086,1.1831380383,0.929722467,0.9419173916,-0.7179985042,1.1418350242,2.5331792863,-0.2085281306,0.3885664453,-1.3152656998,-0.0871989309,0.6822316858,-0.8282595042,0.7803596227,1.0979556646,-2.3815430904,0.3362099338,0.4509562686,-1.3174417861,-1.0146907088,1.1526655695
9.0,-0.664046204,-0.0817279836,-0.716708613,0.5839559964,-0.1104912359,-0.6559300008,1.4038716402,0.174679366,0.5462409179,1.3150883696,1.2170573854,0.9088625764,1.0159521637,-0.6459464857,1.0928747677,2.5219223222,-0.1965565444,0.4086010154,-1.3222347992,-0.0928736742,0.6779092409,-0.7975419382,0.8181722313,1.1167480233,-2.4435735342,0.3622118137,0.4876956822,-1.2950535398,-1.0364387917,1.1933494494
10.0,-0.6689229031,-0.0780913452,-0.7272933371,0.5869528729,-0.1132917084,-0.6464004588,1.4105194276,0.1647562732,0.5474933151,1.3197527845,1.2404283788,0.887214224,1.0893149199,-0.5700665258,1.0654067247,2.4857319349,-0.1690223022,0.4263471881,-1.3311792204,-0.0947835356,0.6714335357,-0.776763856,0.8355997656,1.1401080166,-2.4763070531,0.3683133478,0.5305920371,-1.2716014732,-1.0575318286,1.2352269547
11.0,-0.6748025174,-0.0746166263,-0.7366618718,0.5909005667,-0.1158683019,-0.6369205569,1.4200524388,0.1579978373,0.5449159347,1.3263673621,1.2464678661,0.8642167168,1.1394572825,-0.5324397637,1.0907645056,2.4367266343,-0.1296473752,0.4378172194,-1.3415609534,-0.0932663908,0.6640130848,-0.770849429,0.8269121032,1.1627465625,-2.4762172491,0.3533501366,0.5769097526,-1.2485401039,-1.0670475922,1.2698450087
12.0,-0.6813840911,-0.0713008191,-0.7446866785,0.5953187739,-0.1183996185,-0.6274333156,1.4313269676,0.1567174953,0.5375639882,1.3348166885,1.2340207355,0.8405502541,1.1578263148,-0.5499930972,1.1834012012,2.3967109733,-0.0852326434,0.4381588324,-1.3527262553,-0.0889582796,0.6566236862,-0.7811589182,0.7921482688,1.1814000447,-2.4451326921,0.3186498288,0.6230068255,-1.227490971,-1.0590025845,1.2908952302
13.0,-0.6883170203,-0.0681251093,-0.7512699454,0.5997037932,-0.1210444722,-0.6178646361,1.4407718734,0.1584042756,0.5282965092,1.3442495583,1.2078549624,0.8177529154,1.1600640239,-0.5865439482,1.3108923629,2.3931089782,-0.0444000529,0.4229572163,-1.3637471627,-0.082742936,0.6499334767,-0.8058862588,0.736152275,1.194706942,-2.3921037296,0.2685531006,0.6647173959,-1.2098255697,-1.0325447169,1.2948201795
14.0,-0.695262847,-0.0650496951,-0.7563449466,0.6035607295,-0.1239388906,-0.6081608871,1.4463805462,0.1602223686,0.5199828712,1.3529068525,1.1775925139,0.7984263229,1.1610203863,-0.6109754236,1.4365186719,2.4367972197,-0.0119991849,0.3912452683,-1.3730994433,-0.0759180603,0.6441499476,-0.8396315841,0.6690342925,1.2040525399,-2.3379032164,0.2115268929,0.6981740562,-1.1962211572,-0.9915863919,1.2808787905
15.0,-0.7019424621,-0.0620160379,-0.7598763648,0.606435779,-0.1272060485,-0.5982884915,1.4494737121,0.1602457676,0.5136812494,1.3586796923,1.1555646757,0.7859726562,1.1678095122,-0.6120900483,1.5397776924,2.5076574478,0.013344962,0.3470675608,-1.3786785948,-0.0701207338,0.6387266652,-0.8730457624,0.6065934492,1.214933449,-2.3156435796,0.1590000788,0.7214975903,-1.1861577623,-0.9449362091,1.2514588941
16.0,-0.708144736,-0.0589558299,-0.7618548949,0.607960088,-0.1309590906,-0.5882350598,1.4524762526,0.1574860171,0.50944172,1.3603207197,1.1514701325,0.7829484697,1.1830916261,-0.5884805185,1.6108894949,2.5763720627,0.0341661199,0.2969881664,-1.3794872049,-0.0663892997,0.6323817532,-0.8951698832,0.5670245917,1.2362761295,-2.3490956477,0.1176720971,0.7348949376,-1.1774759268,-0.906372453,1.2124517925
17.0,-0.7137040914,-0.0557961027,-0.7622953962,0.6078735572,-0.1352996647,-0.5780176261,1.4570549905,0.1521323437,0.5072154237,1.35826802,1.1659402457,0.7889514119,1.2075381194,-0.5423967516,1.645039772,2.6230426812,0.0515421232,0.2470122648,-1.3774574953,-0.0641054909,0.6240863692,-0.9008255831,0.560937453,1.2733739712,-2.4235950741,0.0845684865,0.7372359946,-1.1667560691,-0.8922058863,1.1721808231
