time,count_cis,count_trans
0.0,200,0
1.0,200,0
2.0,200,0
3.0,200,0
4.0,200,0
5.0,200,0
6.0,200,0
7.0,200,0
8.0,200,0
9.0,200,0
10.0,200,0
11.0,200,0
12.0,200,0
13.0,200,0
14.0,200,0
15.0,200,0
16.0,200,0
17.0,200,0
18.0,200,0
19.0,200,0
20.0,200,0
21.0,200,0
22.0,200,0
23.0,200,0
24.0,200,0
25.0,200,0
26.0,200,0
27.0,200,0
28.0,200,0
29.0,198,2
30.0,197,3
31.0,194,6
32.0,190,10
33.0,186,14
34.0,180,20
35.0,175,25
36.0,169,31
37.0,164,36
38.0,150,50
39.0,139,61
40.0,128,72
41.0,118,82
42.0,110,90
43.0,102,98
44.0,96,104
45.0,90,110
46.0,82,118
47.0,72,128
48.0,69,131
49.0,64,136
50.0,61,139
51.0,58,142
52.0,53,147
53.0,48,152
54.0,44,156
55.0,37,163
56.0,34,166
57.0,31,169
58.0,25,175
59.0,24,176
60.0,22,178
61.0,18,182
62.0,16,184
63.0,14,186
64.0,14,186
65.0,14,186
66.0,12,188
67.0,12,188
68.0,11,189
69.0,9,191
70.0,8,192
71.0,5,195
72.0,5,195
73.0,5,195
74.0,5,195
75.0,6,194
76.0,6,194
77.0,7,193
78.0,7,193
79.0,6,194
80.0,6,194
81.0,7,193
82.0,6,194
83.0,6,194
84.0,6,194
85.0,7,193
86.0,7,193
87.0,9,191
88.0,9,191
89.0,9,191
90.0,9,191
91.0,9,191
92.0,9,191
93.0,9,191
94.0,9,191
95.0,10,190
96.0,11,189
97.0,11,189
98.0,12,188
99.0,14,186
100.0,14,186
101.0,14,186
102.0,14,186
103.0,15,185
104.0,17,183
105.0,18,182
106.0,18,182
107.0,20,180
108.0,21,179
109.0,24,176
110.0,25,175
111.0,25,175
112.0,29,171
113.0,31,169
114.0,31,169
115.0,33,167
116.0,37,163
117.0,39,161
118.0,40,160
119.0,43,157
120.0,43,157
121.0,44,156
122.0,44,156
123.0,44,156
124.0,46,154
125.0,49,151
126.0,52,148
127.0,54,146
128.0,56,144
129.0,58,142
130.0,60,140
131.0,62,138
132.0,63,137
133.0,65,135
134.0,68,132
135.0,70,130
136.0,71,129
137.0,74,126
138.0,74,126
139.0,75,125
140.0,76,124
141.0,76,124
142.0,77,123
143.0,78,122
144.0,82,118
145.0,82,118
146.0,83,117
147.0,83,117
148.0,83,117
149.0,83,117
150.0,85,115
151.0,85,115
152.0,85,115
153.0,86,114
154.0,87,113
155.0,87,113
156.0,85,115
157.0,85,115
158.0,85,115
159.0,86,114
160.0,86,114
161.0,85,115
162.0,85,115
163.0,86,114
164.0,87,113
165.0,86,114
166.0,86,114
167.0,86,114
168.0,87,113
169.0,87,113
170.0,89,111
171.0,89,111
172.0,87,113
173.0,87,113
174.0,86,114
175.0,85,115
176.0,86,114
177.0,85,115
178.0,83,117
179.0,80,120
180.0,79,121
